Date,Hour,Timestamp,Time,Slot_ID,Slot_Type,Zone,Status,Status_Code,System_Status,PARKING OCCUPANCY,Total_Cars_Today,Total_Revenue,Avg_Parking_Duration_Hour,Peak_Hour_KPI,Potential_Lost_Revenue,Slot_Turnover_Rate,Smart_Alert
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_01,Standard,Zone B,Free,0,Online,27.0,10,150.0,1.5,14,405.0,0.67,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_02,Standard,Zone A,Free,0,Online,27.0,10,150.0,1.5,14,405.0,0.6,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_03,Standard,Zone B,Busy,1,Online,27.0,10,150.0,1.5,14,405.0,2.2,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_04,Standard,Zone B,Free,0,Online,27.0,10,150.0,1.5,14,405.0,0.62,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_05,Standard,Zone B,Busy,1,Online,27.0,10,150.0,1.5,14,405.0,1.56,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_06,Standard,Zone D,Free,0,Online,27.0,10,150.0,1.5,14,405.0,2.78,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_07,Standard,Zone D,Free,0,Online,27.0,10,150.0,1.5,14,405.0,0.63,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_08,Standard,Zone B,Busy,1,Online,27.0,10,150.0,1.5,14,405.0,2.08,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_09,Standard,Zone D,Free,0,Online,27.0,10,150.0,1.5,14,405.0,1.99,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_10,Standard,Zone D,Free,0,Online,27.0,10,150.0,1.5,14,405.0,0.85,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_11,Standard,Zone C,Free,0,Online,27.0,10,150.0,1.5,14,405.0,1.8,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_12,Standard,Zone B,Busy,1,Online,27.0,10,150.0,1.5,14,405.0,1.31,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_13,Standard,Zone C,Free,0,Online,27.0,10,150.0,1.5,14,405.0,1.11,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_14,Standard,Zone A,Free,0,Online,27.0,10,150.0,1.5,14,405.0,1.39,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_15,Standard,Zone A,Free,0,Online,27.0,10,150.0,1.5,14,405.0,2.62,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_16,Standard,Zone A,Free,0,Online,27.0,10,150.0,1.5,14,405.0,2.22,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_17,Standard,Zone D,Free,0,Online,27.0,10,150.0,1.5,14,405.0,1.83,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_18,Standard,Zone C,Busy,1,Online,27.0,10,150.0,1.5,14,405.0,1.26,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_19,Standard,Zone C,Free,0,Online,27.0,10,150.0,1.5,14,405.0,1.26,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_20,Standard,Zone C,Free,0,Online,27.0,10,150.0,1.5,14,405.0,1.42,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_21,Standard,Zone A,Free,0,Online,27.0,10,150.0,1.5,14,405.0,0.93,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_22,Standard,Zone A,Free,0,Online,27.0,10,150.0,1.5,14,405.0,1.06,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_23,Standard,Zone D,Free,0,Online,27.0,10,150.0,1.5,14,405.0,0.52,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_24,Standard,Zone B,Free,0,Online,27.0,10,150.0,1.5,14,405.0,1.83,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_25,Standard,Zone C,Free,0,Online,27.0,10,150.0,1.5,14,405.0,2.15,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_26,Standard,Zone D,Busy,1,Online,27.0,10,150.0,1.5,14,405.0,0.64,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_27,Standard,Zone A,Free,0,Online,27.0,10,150.0,1.5,14,405.0,2.05,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_28,Standard,Zone B,Busy,1,Online,27.0,10,150.0,1.5,14,405.0,0.88,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_29,Standard,Zone B,Busy,1,Online,27.0,10,150.0,1.5,14,405.0,1.45,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_30,Standard,Zone B,Busy,1,Online,27.0,10,150.0,1.5,14,405.0,1.4,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_31,Standard,Zone A,Free,0,Online,27.0,10,150.0,1.5,14,405.0,2.93,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_32,Standard,Zone B,Free,0,Online,27.0,10,150.0,1.5,14,405.0,2.2,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_33,Standard,Zone B,Free,0,Online,27.0,10,150.0,1.5,14,405.0,1.85,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_34,Standard,Zone A,Free,0,Online,27.0,10,150.0,1.5,14,405.0,0.7,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_35,Standard,Zone D,Free,0,Online,27.0,10,150.0,1.5,14,405.0,1.21,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_36,Standard,Zone B,Free,0,Online,27.0,10,150.0,1.5,14,405.0,1.08,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:44:27,14:44:27,Slot_35,Standard,Zone D,Busy,1,Online,27.0,10,150.0,1.5,14,405.0,2.87,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_01,Standard,Zone B,Free,0,Online,27.0,11,165.0,1.5,14,405.0,2.71,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_02,Standard,Zone A,Free,0,Online,27.0,11,165.0,1.5,14,405.0,2.44,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_03,Standard,Zone B,Busy,1,Online,27.0,11,165.0,1.5,14,405.0,1.01,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_04,Standard,Zone B,Free,0,Online,27.0,11,165.0,1.5,14,405.0,1.19,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_05,Standard,Zone B,Busy,1,Online,27.0,11,165.0,1.5,14,405.0,0.94,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_06,Standard,Zone D,Free,0,Online,27.0,11,165.0,1.5,14,405.0,1.04,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_07,Standard,Zone D,Free,0,Online,27.0,11,165.0,1.5,14,405.0,1.64,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_08,Standard,Zone B,Busy,1,Online,27.0,11,165.0,1.5,14,405.0,2.94,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_09,Standard,Zone D,Free,0,Online,27.0,11,165.0,1.5,14,405.0,1.94,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_10,Standard,Zone D,Free,0,Online,27.0,11,165.0,1.5,14,405.0,2.71,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_11,Standard,Zone C,Free,0,Online,27.0,11,165.0,1.5,14,405.0,1.01,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_12,Standard,Zone B,Busy,1,Online,27.0,11,165.0,1.5,14,405.0,1.1,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_13,Standard,Zone C,Free,0,Online,27.0,11,165.0,1.5,14,405.0,2.71,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_14,Standard,Zone A,Free,0,Online,27.0,11,165.0,1.5,14,405.0,2.47,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_16,Standard,Zone A,Free,0,Online,27.0,11,165.0,1.5,14,405.0,2.37,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_15,Standard,Zone A,Free,0,Online,27.0,11,165.0,1.5,14,405.0,2.04,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_21,Standard,Zone A,Free,0,Online,27.0,11,165.0,1.5,14,405.0,1.39,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_20,Standard,Zone C,Free,0,Online,27.0,11,165.0,1.5,14,405.0,2.62,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_17,Standard,Zone D,Free,0,Online,27.0,11,165.0,1.5,14,405.0,2.33,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_18,Standard,Zone C,Busy,1,Online,27.0,11,165.0,1.5,14,405.0,2.27,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_19,Standard,Zone C,Free,0,Online,27.0,11,165.0,1.5,14,405.0,1.81,🟢 Low Occupancy - Many Spots Free
7/14/2026,14,2026-07-14 14:49:27,14:49:27,Slot_22,Standard,Zone A,Free,0,Online,27.0,11,165.0,1.5,14,405.0,0.57,🟢 Low Occupancy - Many Spots Free
